Isim,Soyisim,Yetenekler,Egitim,Deneyim,Email,Telefon,LinkedIn,Github,DogumTarihi,Adres
Ushan,Akar,"HTML, CSS, Django, MongoDB",Petrol Ofisi Üniversitesi - Nalbur (2017-2023),ŞOK Marketler - Elektronik ve Haberleşme mühendisi (2021-2025),xaslan@yahoo.com,+90(770)7696354,https://linkedin.com/in/ushanakar,https://github.com/ushanakar,2004-10-17,"843 Akgündüz Pines, Çağdantown, TX 59634"
Çelem,Hayrioğlu,"React, JavaScript, Linux, Docker, CSS",Ergül Gül A.Ş. Üniversitesi - Böcekbilimci (2021-2025),Şişecam - Sanayici (2022-2023),karadenizbegim@yahoo.com,0380 678 82 88,https://linkedin.com/in/çelemhayrioğlu,https://github.com/çelemhayrioğlu,2003-12-24,"627 Akçay Meadows, Tarhanville, HI 54350"
Fehmiye,Mansız,"ASP.NET, Java, HTML, C#, C#",EnerjiSA Üniversitesi - Başkan (2016-2024),Aslan Fırat Şti. - Teşrifatçı (2023-2025),durmussongurkan@yahoo.com,0546 938 92 34,https://linkedin.com/in/fehmiyemansız,https://github.com/fehmiyemansız,2001-02-16,"751 Akdeniz Meadow, South Feryas, KY 22736"
Semat,Gülen,"ASP.NET, Next.js, Azure, JavaScript, Git",Migros Üniversitesi - Doğalgazcı (2019-2025),Peak Games - Mali hizmetler uzmanı (2020-2024),vulker@sisecam.net,0604-401 1249,https://linkedin.com/in/sematgülen,https://github.com/sematgülen,1995-02-05,"3224 Lezize Knoll, West Vaysalhaven, DE 44865"
Narhanim,Bilir,"Java, Django, Kubernetes",Şener Yıldırım Ltd. Üniversitesi - Müze müdürü (2017-2024),Sakarya Tarhan Şti. - Makinist (2023-2024),ulkernehip@sisecam.info,+90(451)541-4106x0468,https://linkedin.com/in/narhanimbilir,https://github.com/narhanimbilir,1990-04-12,"PSC 7522, Box 2999, APO AE 14694"
Satıa,Yaman,"Python, SQL, CSS",Mansız A.Ş. Üniversitesi - Midyeci (2015-2023),Çetin Manço Ltd. - Benzinci (2021-2025),yzorlu@havelsan.biz,+90(774)4673522,https://linkedin.com/in/satıayaman,https://github.com/satıayaman,1998-09-19,"Unit 3772 Box 4788, DPO AE 60977"
Arifcan,Demirel,"C#, Next.js, React, Docker",Vestel Üniversitesi - Kahveci (2019-2025),Demirel Şti. - Çitçi (2018-2024),hayrioglunecva@hotmail.com,+90(162)678-2124x9017,https://linkedin.com/in/arifcandemirel,https://github.com/arifcandemirel,2000-10-15,"5141 Öcalan Vista Suite 530, Fazultown, MI 59844"
Hansultan,Duran,"MongoDB, Java, Node.js",Sezgin Hayrioğlu Ltd. Üniversitesi - Senarist (2021-2024),Akgündüz Ltd. - Manifaturacı (2023-2024),sakaryaersel@yahoo.com,0082 748 51 53,https://linkedin.com/in/hansultanduran,https://github.com/hansultanduran,2003-07-25,"817 Gülnaziye Turnpike Apt. 305, Şuaypfurt, CT 90250"
Rasul,Ergül,"CSS, Next.js, Flutter, SQL",Gül Şti. Üniversitesi - Aşçıbaşı (2019-2024),Türk Telekom - İcra memuru (2022-2023),saciaslan@bilge.net,+90(902)928-4480x956,https://linkedin.com/in/rasulergül,https://github.com/rasulergül,2003-03-16,"58107 Müferrih Squares, Nejdetshire, RI 76668"
Bengibay,Türk,"Flask, C#, Django, Git",Şensoy A.Ş. Üniversitesi - Kat görevlisi (2015-2025),Yılmaz Karadeniz Şti. - Profesör (2019-2023),jakgunduz@bilgin.com,(274)900 4930,https://linkedin.com/in/bengibaytürk,https://github.com/bengibaytürk,2002-12-19,"83466 Görsev Center Apt. 999, East Nakipberg, VT 65569"
Ahsen,Bilir,"ASP.NET, Azure, Node.js, Flutter",Demir Ertaş A.Ş. Üniversitesi - Bakan (2016-2023),Gül Yüksel Ltd. - Tellal (2019-2024),aykut34@gmail.com,+90(789)736-6560x455,https://linkedin.com/in/ahsenbilir,https://github.com/ahsenbilir,1999-06-14,"2638 Yalın Roads, New Meşhur, WV 01063"
